Carimbo de data/hora,Nome do Jornal ou Revista,Estado da federação da publicação,Título do texto,Data da publicação,Nome do autor do texto,Povo ou terra indígena mencionado,"Nomes de empresas, fazendas ou indivíduos mencionados",Entrevista algum indígena?,Qual o nome do indígena entrevistado?,Há não-indígena entrevistado?,Nome do não-indígena entrevistado,Cargo ou profissão do não-indígena entrevistado,"Se houver, evento mencionado (violência, crimes, etc)",Link da notícia
28/04/2023 12:37:49,Porantim Ano XXXI No. 317,DF,Justiça determina desintrusão de terra indígena Awá-Guajá - Breve histórico do processo de demarcação de terra;,01/08/2009,Rosana Diniz,Awá-Guajá,,Não,,Não,,,FUNAI emitiu certidão negativa que incide sobre território Awá-Guajá ,https://www.docvirt.com/docreader.net/HemeroIndio/1760
20/04/2023 11:00:18,Povos Indígenas no Brasil,SP,A situação das terras,01/01/2000,DOU,TI Sepoti; Tenharim; ,Valdenor C. da Costa,Não,,Não,,,"""o cartório já havia emitido certidão negativa, caracterizando a existência de ocupantes não-índios""; NÃO ENTENDI",https://www.docvirt.com/docreader.net/HemeroIndio/17451
03/05/2023 12:30:09,Brasil Norte,RR,Fazendeiros contestam delimitação de Muriru,11/05/1999,Não consta,Muriru; Wapixana; ,Rui Brunido; José Diniz; Manoel da Rocha; Zulei Ferreira; Antônio Anildo; Fazenda Itamarati I; ,Não,,Sim,Rui Brunido,Fazendeiro,Brunido apresenta certidão negativa de 1986 contra demarcação de terra;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/26724
25/04/2023 12:05:15,O Mensageiro n.115,,Povos indígenas no Brasil - Paraíba - Potyguara;,01/04/1999,Não consta,Potyguara;,,Não,,Não,,,Emissão de certidão negativa para usinas de álcool;,https://www.docvirt.com/docreader.net/HemeroIndio/11683
20/04/2023 11:07:58,Povos Indígenas no Brasil,SP,ONGs denunciam acordo irregular,21/11/1997,Não consta,Bororo; TI Tereza Cristina;,Diretor Regional da FUNAI Idevar Sardinha; Fazendeiro João Rodrigues Jimenez; Procurador da República Roberto Cavalcanti; Missão salesiana; ,Não,,Não,,,Denúncia de benfeitorias em troca de certidão negativa;,https://www.docvirt.com/docreader.net/HemeroIndio/17679
19/04/2023 14:27:36,Povos Indígenas no Brasil,SP,Comissão divulga relatório final,16/12/1994,Jornal O Liberal,Tembé; Área Indígena Alto Rio Guamá;,Gal. Bandeira de Mello; Rosa Madeireira; Serraria Marajoara; Cia. Agropecuária do Pará; Gleba Cidapar; Mejer Industrial LTDA;  Deputado Neuton Miranda (PCdoB); Edimilson Rodrigues (PT); Luís Cunha (PDT); José Francisco (PMDB); Teodoro Nagano (PPR);,Não,,Não,,,"Relatório Tembé Tenetehara - A nação resiste; A uma série de apontamentos a respeito de invasões da área Tembé; Tudo começa com certidão negativa de 1970, assinada por Bandeira de Mello; ",https://www.docvirt.com/docreader.net/HemeroIndio/16542
19/04/2023 15:53:34,Povos Indígenas no Brasil,SP,Os direitos dos Erikbaktsa: interesses impedem demarcação da área indígena do Escondido,01/12/1994,Rinaldo S. V. Arruda,Erikbaktsa; Área do Escondido; Apiaká;,Missão Anchieta; Codemat; ,Não,,Não,,,"O texto delata transferência compulsória dos Erikbaktsa (pela FUNAI e Missão Anchieta) e anos depois, emissão de certidão negativa relativa à área que era ocupada pelos indígenas;",https://www.docvirt.com/docreader.net/HemeroIndio/16682
19/04/2023 16:08:50,Aconteceu especial,SP,Os direitos dos Erikbaksta: interesses impedem demarcação da área indígena do Escondido,01/12/1994,Rinaldo S. V. Arruda,Erikbaktsa; Apiaká;,"Cotriguaçu Colonizadora do Aripuanã LTDA; Juruena Empreendimentos de Colonização Ltda; Construtora Andrade Gutierrez S/A; Indeco Integração, Desenvolvimento e Colonização S/A;",Não,,Não,,,"Mesmo com certidão negativa indeferida, a empresa invadiu área indígena",https://www.docvirt.com/docreader.net/HemeroIndio/16683
19/04/2023 14:09:58,Povos Indígenas no Brasil ,SP,Mineradora pede certidão negativa à FUNAI,01/08/1994,Porfírio Carvalho,Waimiri-Atroari; ,Mineração Taboca; Projeto Pitinga; Paranapanema;,Não,,Não,,,A requisição da certidão negativa parece incidir sobre área a qual já fora ocupada por indígenas,https://www.docvirt.com/docreader.net/HemeroIndio/16351
19/04/2023 10:35:17,Aconteceu especial no. 18,SP,"Dez ano depois, a reação",01/01/1990,Não consta,Waiãpi,"Garimpo Monte Negro, ou Garimpo do João Munguba; Mineração Tuucumaque; João Batista de Oliveira Costa;",Não,,Não,,,Indício de que a FUNAI emitiu certidão negativa para o garimpo (processo FUNAI/BSB/3060/80),https://www.docvirt.com/docreader.net/HemeroIndio/15711
19/04/2023 13:50:30,Aconteceu especial no. 18,SP,Território Bororo: um histórico do processo de expropriação,01/01/1990,Sylvia Cayubi Novaes; Paulo Serpa;,Bororo,Fazenda Santa Maria; ,Não,,Não,,,"Em 1969, a demarcação da terra Bororo exclui determinada área. Em 1975, a FUNAI emite certidão negativa, relativa à área excluída em 69. Mais adiante, a certidão negativa é anulada;",https://www.docvirt.com/docreader.net/HemeroIndio/15996
19/04/2023 14:00:27,Aconteceu especial no. 18,SP,Portaria da Funai cancela certidão negativa,21/01/1989,Diário Oficial da União,Bororo; Colônia Teresa Cristina;,Presidente da FUNAI Íris Pedro de Oliveira; José Roberto Figueiredo Ferraz;,Não,,Não,,,"Cancelamento da certidão negativa no. 095/75, de 28/12/1975;",https://www.docvirt.com/docreader.net/HemeroIndio/15997
03/05/2023 11:52:05,Tribuna de Roraima,RR,FUNAI prejudica oito projetos em Roraima,15/04/1988,Não consta,,Grupo Kimak; Daniel Marques de Souza;,Não,,Não,,,FUNAI cancela certidões negativas;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/15944
02/06/2023 17:10:26,Amazonas em Tempo,AM,Certidões negativas,15/04/1988,,"Tikuna (""Ticunas"")",Sebastião Amâncio; Roberto Alexandre; Oscar Castelo Branco; Sônia de ALmeida Demarquet,Não,,Não,,,Funai muda sua postura em relação às certidões negativas e para de emiti-las;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/8993
