Nome do Jornal ou Revista,Estado da federação da publicação,Título do texto,Data da publicação,Nome do autor do texto,Povo indígena mencionado,TI Mencionada (entre parênteses o nome atual),Povos Possivelmente Afetados (Povos mencionados + povos que habitam as TIs mencionadas),"Nomes de empresas, fazendas ou indivíduos mencionados",Entrevista algum indígena?,Qual o nome do indígena entrevistado?,Há não-indígena entrevistado?,Nome do não-indígena entrevistado,Cargo ou profissão do não-indígena entrevistado,"Se houver, evento mencionado (violência, crimes, etc)",Link da notícia
A Crítica,AM,Deputado alerta governo sobre portaria da FUNAI,25/04/1981,,,,,Dep. Mário Frota (PMDB),Não,,Sim,Dep. Mário Frota (PMDB),Deputado Federal,"IMPORTANTE: o deputado é contra a portaria 574 (que foi revogada em 81) - a partir disso, posso buscar entender o jogo parlamentar que envolve as portarias!",https://www.docvirt.com/docreader.net/HemeroIndioRecortes/3459
A Crítica,AM,Deputada denuncia crise no Alto Solimões,14/08/1981,,,,,"Deputada Beth Azize (PMDB); Banco do Brasil; Marcos Benn (""representante"" da FUNAI na região)",Não,,Sim,Deputada Beth Azize,Deputada federal,Deputada fala que a Portaria 574/79 é abuso e atravanca as atividades de madeireiros e seringalistas;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/3579
A Crítica,AM,Funai aguarda liberação de recursos,15/04/1983,,"Nambikwaras (""nabikharas"", no texto)",,Nambikwara,Seplan; Rodovia 364 - Cuiabá-Porto Velho; Polo Noroeste; Paulo Moreira Leal (presidente FUNAI); Banco Mundial; Hendrich Van Der Reijder (chefe do Banco Mundial no Brasil); Bird;,Não,,Sim,Paulo Moreira Leal,Presidente da Funai,"Nesta notícia, há indícios de que fazendas no Vale do Guaporé serão indenizadas",https://www.docvirt.com/docreader.net/HemeroIndioRecortes/4099
A Crítica,AM,Nação Tukano já não desconfia da Funai,06/02/1986,,Tukano,Comunidade indígena de Pari-Cachoeira;,Tukano,Paranapanema; Goldamazon; DNPM;,Sim,Álvaro Sampaio Tukano; Carlos Taukene;,Sim,Sebastião Amâncio,Delegado da FUNAI,"A Paranapanema estaria ocupando ilegalmente área de Pari-Cachoeira, por não possuir certidão negativa; Ela atua na área apenas com concessão de pesquisa dada pelo DNPM;",https://www.docvirt.com/docreader.net/HemeroIndioRecortes/5744
A Crítica,AM,Obra de Balbina foi contestada pela SBPC,15/05/1987,,Waimiri-Atroari,,Waimiri-Atroari,Balbina; SBPC; Schwade,Não,,Sim,Egidio Schwade,Membro do Cimi,"Schwade fala que Bandeira de Mello negou certidões negativas, em 1971, a agropecuárias como Yamame, Guernice e Santa Paula. Na mesma região em que iria atuar Balbina.",https://www.docvirt.com/docreader.net/HemeroIndioRecortes/6856
A Crítica,AM,Funai anula certidão à venda de terras indígenas;,10/04/1988,Não consta,,,,,Não,,Sim,Daniel Marques de Souza,Superintendente de Assuntos Fundiários da FUNAI,"FUNAI está anulando as certidões negativas via portarias publicadas no Diário Oficial (vale procurar essas portarias); FUNAI não sabe quantas certidões foram expedidas, nem para quem; FUNAI não sabe se as portarias anulando as certidões tem efeito;",https://www.docvirt.com/docreader.net/HemeroIndioRecortes/15912
A Crítica,AM,Proprietários são obrigados a sair;,10/04/1988,Não consta,,,,Valter Moreira; Oscar Gomes dos Santos; Agropecuária Itapicuru;,Não,,Sim,Daniel Marques de Souza,Superintendente de Assuntos Fundiários da FUNAI,FUNAI anula certidões negativas;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/15912
A Crítica,AM,Proprietários são obrigados a sair,10/04/1988,,,,,,,,Sim,Daniel Marques SOuza,Superintendente FUNAI,"Funai cancela certidões negativas, mas não sabe da efetividade da ação. Cita publicação do DOU 30 de março de 1988;",https://www.docvirt.com/docreader.net/HemeroIndioRecortes/8934
A Notícia,,,23/12/1980,,Waimiri-Atroari,,Waimiri-Atroari,Grupo Timbo - Paranapanema,Não,,Não,,,Funai faz estudos para emitir certidão negativa para grupo TImbo-Paranapanema,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/2837
A Notícia,,Nova República não define sua política indigenista,17/09/1985,,Diversos,,,Diversos,Não,,Não,,,Funai indefere certidão negativa a Cotriguaçu Colonizadora do Aripuanã S.A.;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/4749
A Notícia,,Funai quer corrigir erros,09/04/1988,,,,,,Não,,Sim,Daniel Marques de Souza,Superintendente de Assuntos Fundiários da Funai,"IMPORTANTE - A notícia fala da Funai cancelando certidões negativas, mas não sabe se os cancelamentos têm efeitos! Publicações no Diário Oficial: 30 de março de 1988; Valter Moreira; Oscavo Gomes dos Santos; Agropecuária Itaipicuru;",https://www.docvirt.com/docreader.net/HemeroIndioRecortes/8928
Folha de São Paulo,SP,FUNAI é acusada de liberar reserva Atroari à mineração,16/02/1982,Não consta,Atroari,,Waimiri-Atroari,Mineradora Paranapanema; Cel. Claudio Pagano (Diretor do DGPI); Hidelgard Rick; Nei da Fonseca; Giuseppe Craveiro;,Não,,Sim,Egidio Schwade,Membro do CIMI,Schwade acusa FUNAI e presidente Figueiredo de liberar área indígena para mineração;,https://www.docvirt.com/docreader.net/HemeroIndio/6496
Aconteceu (ISA),SP,Situação atual das terras (Amanayé),01/01/1985,Não consta,Amanayé,,Amanayé,Fazenda União,Não,,Não,,,Requerimento de Certidão Negativa pela Fazenda União. Processo 1518/79,https://www.docvirt.com/docreader.net/HemeroIndio/15437
Correio do Povo,RS,Cotrijuí aguarda solução sobre as terras no Pará,27/03/1981,Não consta,Araras,,Arara,COTRIJUÍ; Rubem Iljennfritz,Não,,Sim,Rubem Iljennfritz,Presidente da COTRIJUÍ,,https://www.docvirt.com/docreader.net/HemeroIndio/6407
Aconteceu (ISA),SP,Tembé-Turiwara,01/01/1985,Não consta,"Tembé; Turiwara;  Raimundo Barrá Turiwara;
",,Tembé; Turiwara,Fazenda Mombaça,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndio/15444
Aconteceu (ISA),SP,Tembé,01/01/1985,Não consta,Tembé,Área indígena Alto Rio Guamá (T.I. Alto Rio Guamá),Tembé; Awa Guajá; Ka'apor,Cia. Agropecuária do Pará (Subsidiária da Swift Armour); Gal. Bandeira de Mello,Não,,Não,,,"Certidão negativa emitida em 1970, que lesou os Tembé em 11.000ha",https://www.docvirt.com/docreader.net/HemeroIndio/15466
Aconteceu (ISA),SP,Tembé,01/01/1985,Não consta,Tembé,A.I. do Alto Rio Guamá (T.I. Alto rio Guamá); Posto Indígena Pedro Dantas; ,Tembé; Awa Guajá; Ka'apor,Cia. Agropecuária do Pará; Gal. Bandeira de Mello,Não,,Não,,,"Cia. Agropecuária do Pará obtém certidão negativa em 1970; (Processo FUNAI/GB/450/70 doc.03); O delegado da 2a. Regional se demite por causa disso; Bandeira de Mello envia ofício ao governador do Pará, propondo liberação da AI do Alto Rio Guamá (Ofício 157/DGPI/FUNAI/07.12.1970)",https://www.docvirt.com/docreader.net/HemeroIndio/15470
Aconteceu (ISA),SP,Os direitos dos Erikbaksta: interesses impedem demarcação da área indígena do Escondido,01/12/1994,Rinaldo S. V. Arruda,Erikbaktsa; Apiaká,,Rikbaktsa; Apiaká,"Cotriguaçu Colonizadora do Aripuanã LTDA; Juruena Empreendimentos de Colonização Ltda; Construtora Andrade Gutierrez S/A; Indeco Integração, Desenvolvimento e Colonização S/A;",Não,,Não,,,"Mesmo com certidão negativa indeferida, a empresa invadiu área indígena",https://www.docvirt.com/docreader.net/HemeroIndio/16683
O Rio Branco,AC,Aripunã ameaçam fazenda Chaparral,26/09/1983,Não consta,Apurinã,,Apurinã,Fazenda Chaparral; Antônio Bertoldo; Índio Severino; Coordenador Djalma Dias de Santos;,Não,,Não,,,Ameaça de invasão a fazenda e confusão por conta de certidão negativa;,https://www.docvirt.com/docreader.net/HemeroIndio/6740
Folha de São Paulo,SP,Parlamentar admite possuir fazenda em área indígena,11/02/1982,Não consta,Nambiquara,,Nambikwara,Antônio Morimoto (PDS-SP);,Não,,Sim,Antônio Morimoto,Parlamentar e fazendeiro,"O parlamentar mostra certidão negativa assinada por Bandeira de Mello, para garantir posse de terra em área indígena;",https://www.docvirt.com/docreader.net/HemeroIndio/6502
O Estado de São Paulo,SP,Em andamento demarcação Nambiquara,16/02/1982,Não consta,Nambiquara,,Nambikwara,Polo Noroeste; Rodovia 364;,Não,,Não,,,"Banco Mundial exige demarcação da área Nambiquara, para financiar rodovia; 16 empresas conseguiram certidão negativa na área;",https://www.docvirt.com/docreader.net/HemeroIndio/6502
Diário Oficial da União,SP,FUNAI anula certidão negativa,16/04/1982,Não consta,Nambiquara,,Nambikwara,SORAMA - Comercial e importadora S/A,Não,,Não,,,Paulo Moreira Leal (Pres. FUNAI) anula certidão negativa concedida à SORAMA;,https://www.docvirt.com/docreader.net/HemeroIndio/6502
Gazeta de Notícias,SP,FUNAI acusada de forçar interdições de reservas,03/06/1982,Não consta,Vale do Guaporé ,,Nambikwara,Deputado Antônio Morimoto - PDS-SP,Não,,Sim,Deputado Morimoto (PDS-SP),Deputado,"FUNAI assina portaria 1.125/3, para demarcar terras indígenas. Segundo o deputado, a portaria prejudicou fazendas, inclusive a dele",https://www.docvirt.com/docreader.net/HemeroIndio/6503
